Reboilers,,,,
1382842.281,Molar Flow,350301,350301.Molar Flow,
24912042.63,Mass Flow,350301,350301.Mass Flow,
,Phase Comp Mole Frac,350301,350301.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350301,350301.Phase Comp Mole Frac.Liquid Phase.H2O,
1,Phase Comp Mole Frac,350301,350301.Phase Comp Mole Frac.Vapour Phase.H2O,
350214,Object Name,350214,350214.Object Name,
0,Vapour Fraction,350214,350214.Vapour Fraction,
35,Temperature,350214,350214.Temperature,
1.013249966,Pressure,350214,350214.Pressure,
31985.24734,Molar Flow,350214,350214.Molar Flow,
576217.4448,Mass Flow,350214,350214.Mass Flow,
1,Phase Comp Mole Frac,350214,350214.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350214,350214.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350214,350214.Phase Comp Mole Frac.Vapour Phase.H2O,
350213,Object Name,350213,350213.Object Name,
0,Vapour Fraction,350213,350213.Vapour Fraction,
30,Temperature,350213,350213.Temperature,
1.35798792,Pressure,350213,350213.Pressure,
31985.24734,Molar Flow,350213,350213.Molar Flow,
576217.4448,Mass Flow,350213,350213.Mass Flow,
1,Phase Comp Mole Frac,350213,350213.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350213,350213.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350213,350213.Phase Comp Mole Frac.Vapour Phase.H2O,
350212,Object Name,350212,350212.Object Name,
0,Vapour Fraction,350212,350212.Vapour Fraction,
50,Temperature,350212,350212.Temperature,
1.013249966,Pressure,350212,350212.Pressure,
550933.5625,Molar Flow,350212,350212.Molar Flow,
9925123.486,Mass Flow,350212,350212.Mass Flow,
1,Phase Comp Mole Frac,350212,350212.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350212,350212.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350212,350212.Phase Comp Mole Frac.Vapour Phase.H2O,
350211,Object Name,350211,350211.Object Name,
0,Vapour Fraction,350211,350211.Vapour Fraction,
30,Temperature,350211,350211.Temperature,
1.35798792,Pressure,350211,350211.Pressure,
550933.5625,Molar Flow,350211,350211.Molar Flow,
9925123.486,Mass Flow,350211,350211.Mass Flow,
1,Phase Comp Mole Frac,350211,350211.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350211,350211.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350211,350211.Phase Comp Mole Frac.Vapour Phase.H2O,
350210,Object Name,350210,350210.Object Name,
0,Vapour Fraction,350210,350210.Vapour Fraction,
40,Temperature,350210,350210.Temperature,
1.013249966,Pressure,350210,350210.Pressure,
24476.80735,Molar Flow,350210,350210.Molar Flow,
440952.1438,Mass Flow,350210,350210.Mass Flow,
1,Phase Comp Mole Frac,350210,350210.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350210,350210.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350210,350210.Phase Comp Mole Frac.Vapour Phase.H2O,
350209,Object Name,350209,350209.Object Name,
0,Vapour Fraction,350209,350209.Vapour Fraction,
30,Temperature,350209,350209.Temperature,
1.357949966,Pressure,350209,350209.Pressure,
24476.80735,Molar Flow,350209,350209.Molar Flow,
440952.1438,Mass Flow,350209,350209.Mass Flow,
1,Phase Comp Mole Frac,350209,350209.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350209,350209.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350209,350209.Phase Comp Mole Frac.Vapour Phase.H2O,
350208,Object Name,350208,350208.Object Name,
