snap,x,y,h,v,T,r,NOx,NOVOC,CO,SO2,NH3,PM2.5,PM10
4,559276,5929676,48,14.5,15,0.225675833,-999,-999,-999,-999,-999,0.595,0.843
4,559392,5929603,48,11.7,9,0.225675833,-999,-999,-999,-999,-999,2.63,3.73
4,559223,5929589,48,13,8,0.225675833,-999,-999,-999,-999,-999,15.1,21.4
4,559340,5929522,48,11.7,10,0.225675833,-999,-999,-999,-999,-999,17.3,24.6
4,562679,5930438,6,43.2,60,0.249777376,-999,-999,-999,-999,-999,52,73.6
4,561495,5935739,13,13.5,20,0.249777376,-999,-999,-999,-999,-999,854,1281
4,564329,5928622,19,22.1,11,0.249777376,-999,-999,-999,-999,-999,2.88,4.08
4,562712,5930437,23,11.4,40,0.249777376,-999,-999,-999,-999,-999,0.000084,0.000294
4,564357,5928614,39,22.1,11,0.249777376,-999,-999,-999,-999,-999,5.4,7.65
4,564343,5928618,39,22.1,11,0.249777376,-999,-999,-999,-999,-999,234,332
4,564389,5928605,60,53.9,11,0.249777376,-999,-999,-999,-999,-999,21.5,30.5
4,560114,5938976,3.5,4.47,20,0.252313252,-999,-999,-999,-999,-999,5.4,7.65
4,564209,5929272,4,2.46,11,0.252313252,-999,-999,-999,-999,-999,16.3,23.1
4,562678,5930448,6,15,50,0.252313252,-999,-999,-999,-999,-999,0.0336,0.0476
4,558991,5929182,10,9.85,15,0.252313252,-999,-999,-999,-999,-999,0.181,0.256
4,562808,5930377,10,2.98,20,0.252313252,-999,-999,-999,-999,-999,1.73,6.06
4,562753,5930385,14,15.9,40,0.252313252,-999,-999,-999,-999,-999,0.052,0.0736
4,562629,5930410,15,15,40,0.252313252,-999,-999,-999,-999,-999,0.0425,0.0602
4,559066,5930406,23,22.4,87,0.252313252,-999,-999,-999,-999,-999,24.1,34.2
4,559066,5930406,23,21.2,83,0.252313252,-999,-999,-999,-999,-999,112,158
4,562717,5930373,31,15.9,16,0.252313252,-999,-999,-999,-999,-999,56.1,79.5
4,562879,5930353,35,14.8,13,0.252313252,-999,-999,-999,-999,-999,12.2,17.3
4,562879,5930351,40,10.7,20,0.252313252,-999,-999,-999,-999,-999,27.2,38.5
4,562877,5930352,40,10.4,20,0.252313252,-999,-999,-999,-999,-999,60.7,86.1
4,562671,5930385,48,14.9,20,0.252313252,-999,-999,-999,-999,-999,176,615
4,562856,5930391,54,16.4,20,0.252313252,-999,-999,-999,-999,-999,57.2,81
4,564692,5928357,10,52.4,11,0.26998697,-999,-999,-999,-999,-999,86.7,123
4,558964,5929446,6,21.8,25,0.282094792,-999,-999,-999,-999,-999,3.78,13.2
4,562750,5930386,14,16,40,0.282094792,-999,-999,-999,-999,-999,65.2,92.4
4,565200,5941615,18.5,6,22,0.282094792,-999,-999,-999,-999,-999,0.0254,0.036
4,565273,5927587,43,4.62,11,0.282094792,-999,-999,-999,-999,-999,5.04,17.6
4,562816,5930418,3,0.253,10,0.298541066,-999,-999,-999,-999,-999,267,935
4,565191,5941702,12.1,13.5,26,0.298541066,-999,-999,-999,-999,-999,3.27,4.63
4,565343,5926838,15,17.6,15,0.298541066,-999,-999,-999,-999,-999,17.4,34.8
4,565194,5927607,24,20.6,11,0.298541066,-999,-999,-999,-999,-999,1037,1469
4,565194,5927627,29,17.5,11,0.298541066,-999,-999,-999,-999,-999,881,1248
4,565184,5927627,33,17.5,11,0.298541066,-999,-999,-999,-999,-999,881,1248
4,559061,5929936,38,12.4,11,0.298541066,-999,-999,-999,-999,-999,5.27,18.4
