primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
anthracite,subcritical,57,1700,1089,42.36,7160175.00,17
anthracite,subcritical,57,1800,1153,42.14,7580975.00,17
anthracite,subcritical,57,1900,1217,41.93,8001775.00,17
anthracite,subcritical,57,2000,1281,41.75,8422575.00,17
anthracite,subcritical,57,2100,1346,41.58,8849950.00,17
anthracite,subcritical,57,2200,1410,41.42,9270750.00,17
anthracite,subcritical,57,2300,1474,41.27,9691550.00,17
anthracite,subcritical,57,2400,1538,41.13,10112350.00,17
anthracite,subcritical,57,2500,1602,40.99,10533150.00,17
anthracite,subcritical,60,100,64.12,83.47,421589.00,18
anthracite,subcritical,60,200,128.2,64.66,842915.00,18
anthracite,subcritical,60,300,192.3,57.53,1264372.50,18
anthracite,subcritical,60,400,256.3,53.6,1685172.50,18
anthracite,subcritical,60,500,320.4,51.04,2106630.00,18
anthracite,subcritical,60,600,384.5,49.2,2528087.50,18
anthracite,subcritical,60,700,448.6,47.8,2949545.00,18
anthracite,subcritical,60,800,512.6,46.67,3370345.00,18
anthracite,subcritical,60,900,576.7,45.74,3791802.50,18
anthracite,subcritical,60,1000,640.8,44.95,4213260.00,18
anthracite,subcritical,60,1100,704.8,44.26,4634060.00,18
anthracite,subcritical,60,1200,768.9,43.65,5055517.50,18
anthracite,subcritical,60,1300,833,43.09,5476975.00,18
anthracite,subcritical,60,1400,897,42.66,5897775.00,18
anthracite,subcritical,60,1500,961.1,42.34,6319232.50,18
anthracite,subcritical,60,1600,1025,42.07,6739375.00,18
anthracite,subcritical,60,1700,1089,41.82,7160175.00,18
anthracite,subcritical,60,1800,1153,41.6,7580975.00,18
anthracite,subcritical,60,1900,1217,41.4,8001775.00,18
anthracite,subcritical,60,2000,1281,41.22,8422575.00,18
anthracite,subcritical,60,2100,1346,41.05,8849950.00,18
anthracite,subcritical,60,2200,1410,40.89,9270750.00,18
anthracite,subcritical,60,2300,1474,40.75,9691550.00,18
anthracite,subcritical,60,2400,1538,40.6,10112350.00,18
anthracite,subcritical,60,2500,1602,40.47,10533150.00,18
anthracite,subcritical,63,100,64.12,82.49,421589.00,19
anthracite,subcritical,63,200,128.2,63.83,842915.00,19
anthracite,subcritical,63,300,192.3,56.77,1264372.50,19
anthracite,subcritical,63,400,256.3,52.89,1685172.50,19
anthracite,subcritical,63,500,320.4,50.36,2106630.00,19
anthracite,subcritical,63,600,384.5,48.55,2528087.50,19
