primary_fuel,generation_technology,capacity_MW,amortization_rate,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh,age
natural_gas,CCGT,1200,17,429,60.61,2818530,10,0.75,15,57.78,4.766666667,62.54666667,24.06,364.65,-40.29,-264906.75,81.855,-31.6,50.255,5
natural_gas,CCGT,1200,20,429,60.25,2818530,10,0.75,15,57.44,4.766666667,62.20666667,24.06,364.65,-40.29,-264906.75,81.37333333,-26.86,54.51333333,6
natural_gas,CCGT,1200,23,429,59.89,2818530,10,0.75,15,57.09,4.766666667,61.85666667,24.06,364.65,-40.29,-264906.75,80.8775,-23.35652174,57.52097826,7
natural_gas,CCGT,1200,27,429,59.41,2818530,10,0.75,15,56.63,4.766666667,61.39666667,24.06,364.65,-40.29,-264906.75,80.22583333,-19.8962963,60.32953704,8
natural_gas,CCGT,1200,30,429,59.05,2818530,10,0.75,15,56.29,4.766666667,61.05666667,24.06,364.65,-40.29,-264906.75,79.74416667,-17.90666667,61.8375,9
natural_gas,CCGT,1200,33,429,58.69,2818530,10,0.75,15,55.95,4.766666667,60.71666667,24.06,364.65,-40.29,-264906.75,79.2625,-16.27878788,62.98371212,10
natural_gas,CCGT,1200,37,429,58.21,2818530,10,0.75,15,55.49,4.766666667,60.25666667,24.06,364.65,-40.29,-264906.75,78.61083333,-14.51891892,64.09191441,11
natural_gas,CCGT,1200,40,429,57.85,2818530,10,0.75,15,55.15,4.766666667,59.91666667,24.06,364.65,-40.29,-264906.75,78.12916667,-13.43,64.69916667,12
natural_gas,CCGT,1200,43,429,57.49,2818530,10,0.75,15,54.8,4.766666667,59.56666667,24.06,364.65,-40.29,-264906.75,77.63333333,-12.49302326,65.14031008,13
natural_gas,CCGT,1200,47,429,57,2818530,10,0.75,15,54.34,4.766666667,59.10666667,24.06,364.65,-40.29,-264906.75,76.98166667,-11.42978723,65.55187943,14
natural_gas,CCGT,1200,50,429,56.64,2818530,10,0.75,15,53.99,4.766666667,58.75666667,24.06,364.65,-40.29,-264906.75,76.48583333,-10.744,65.74183333,15
natural_gas,CCGT,1200,53,429,56.28,2818530,10,0.75,15,53.65,4.766666667,58.41666667,24.06,364.65,-40.29,-264906.75,76.00416667,-10.13584906,65.86831761,16
natural_gas,CCGT,1200,57,429,55.8,2818530,10,0.75,15,53.19,4.766666667,57.95666667,24.06,364.65,-40.29,-264906.75,75.3525,-9.424561404,65.9279386,17
natural_gas,CCGT,1200,60,429,55.44,2818530,10,0.75,15,52.85,4.766666667,57.61666667,24.06,364.65,-40.29,-264906.75,74.87083333,-8.953333333,65.9175,18
natural_gas,CCGT,1200,63,429,55.08,2818530,10,0.75,15,52.51,4.766666667,57.27666667,24.06,364.65,-40.29,-264906.75,74.38916667,-8.526984127,65.86218254,19
natural_gas,CCGT,1200,67,429,54.6,2818530,10,0.75,15,52.05,4.766666667,56.81666667,24.06,364.65,-40.29,-264906.75,73.7375,-8.017910448,65.71958955,20
natural_gas,CCGT,1200,70,429,54.24,2818530,10,0.75,15,51.71,4.766666667,56.47666667,24.06,364.65,-40.29,-264906.75,73.25583333,-7.674285714,65.58154762,21
natural_gas,CCGT,1200,73,429,53.88,2818530,10,0.75,15,51.36,4.766666667,56.12666667,24.06,364.65,-40.29,-264906.75,72.76,-7.35890411,65.40109589,22
natural_gas,CCGT,1200,77,429,53.4,2818530,10,0.75,15,50.91,4.766666667,55.67666667,24.06,364.65,-40.29,-264906.75,72.1225,-6.976623377,65.14587662,23
natural_gas,CCGT,1200,80,429,53.03,2818530,10,0.75,15,50.55,4.766666667,55.31666667,24.06,364.65,-40.29,-264906.75,71.6125,-6.715,64.8975,24
natural_gas,CCGT,1200,83,429,52.67,2818530,10,0.75,15,50.21,4.766666667,54.97666667,24.06,364.65,-40.29,-264906.75,71.13083333,-6.472289157,64.65854418,25
natural_gas,CCGT,1200,87,429,52.19,2818530,10,0.75,15,49.75,4.766666667,54.51666667,24.06,364.65,-40.29,-264906.75,70.47916667,-6.174712644,64.30445402,26
natural_gas,CCGT,1200,90,429,51.83,2818530,10,0.75,15,49.41,4.766666667,54.17666667,24.06,364.65,-40.29,-264906.75,69.9975,-5.968888889,64.02861111,27
natural_gas,CCGT,1200,93,429,51.47,2818530,10,0.75,15,49.07,4.766666667,53.83666667,24.06,364.65,-40.29,-264906.75,69.51583333,-5.776344086,63.73948925,28
natural_gas,CCGT,1200,97,429,50.99,2818530,10,0.75,15,48.61,4.766666667,53.37666667,24.06,364.65,-40.29,-264906.75,68.86416667,-5.53814433,63.32602234,29
natural_gas,CCGT,1200,100,429,50.63,2818530,10,0.75,15,48.27,4.766666667,53.03666667,24.06,364.65,-40.29,-264906.75,68.3825,-5.372,63.0105,30
