primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
anthracite,subcritical,20,1200,768.9,51.2,5055517.50,10,0.75,38.75,8.543333333,47.29333333,90.71,653.565,-24.625,596418.25,65.33057851,-0.273611111,65.0569674
anthracite,subcritical,20,1300,833,50.54,5476975.00,10,0.75,38.25,8.543589744,46.79358974,98.28,708.05,-26.67,646191,64.48760331,-0.273538462,64.21406484
anthracite,subcritical,20,1400,897,50.01,5897775.00,10,0.75,37.85,8.542857143,46.39285714,105.83,762.45,-28.72,695832.25,63.81322314,-0.27352381,63.53969933
anthracite,subcritical,20,1500,961.1,49.62,6319232.50,10,0.75,37.55,8.543111111,46.09311111,113.39,816.935,-30.775,745539.25,63.30743802,-0.273555556,63.03388246
anthracite,subcritical,20,1600,1025,49.27,6739375.00,10,0.75,37.29,8.541666667,45.83166667,120.93,871.25,-32.82,795114.75,62.86909091,-0.2735,62.59559091
anthracite,subcritical,20,1700,1089,48.97,7160175.00,10,0.75,37.06,8.541176471,45.60117647,128.48,925.65,-34.87,844756,62.48132231,-0.273490196,62.20783212
anthracite,subcritical,20,1800,1153,48.7,7580975.00,10,0.75,36.86,8.540740741,45.40074074,136.03,980.05,-36.92,894397.25,62.14413223,-0.273481481,61.87065075
anthracite,subcritical,20,1900,1217,48.46,8001775.00,10,0.75,36.68,8.540350877,45.22035088,143.58,1034.45,-38.97,944038.5,61.84066116,-0.273473684,61.56718747
anthracite,subcritical,20,2000,1281,48.24,8422575.00,10,0.75,36.51,8.54,45.05,151.13,1088.85,-41.02,993679.75,61.55404959,-0.273466667,61.28058292
anthracite,subcritical,20,2100,1346,48.05,8849950.00,10,0.75,36.37,8.546031746,44.91603175,158.8,1144.1,-43.1,1044110,61.31801653,-0.273650794,61.04436574
