primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
anthracite,supercritical,20,1800,10,0.75,1090,48.9,7166750,35.79,8.074074074,43.86407407,126.25,830093.75,57.5784728,0.935185185,58.51365799
anthracite,supercritical,20,1900,10,0.75,1150,48.62,7561250,35.58,8.070175439,43.65017544,133.2,875790,57.24062762,0.934736842,58.17536446
anthracite,supercritical,20,2000,10,0.75,1211,48.37,7962325,35.4,8.073333333,43.47333333,140.26,922209.5,56.95104603,0.935066667,57.88611269
anthracite,supercritical,20,2100,10,0.75,1271,48.15,8356825,35.24,8.06984127,43.30984127,147.21,967905.75,56.69364017,0.934666667,57.62830683
anthracite,supercritical,20,2200,10,0.75,1332,47.95,8757900,35.09,8.072727273,43.16272727,154.28,1014391,56.45232218,0.935030303,57.38735248
anthracite,supercritical,20,2300,10,0.75,1392,47.76,9152400,34.96,8.069565217,43.02956522,161.23,1060087.25,56.24317992,0.934666667,57.17784658
anthracite,supercritical,20,2400,10,0.75,1453,47.59,9553475,34.83,8.072222222,42.90222222,168.29,1106506.75,56.03403766,0.934944444,56.9689821
anthracite,supercritical,20,2500,10,0.75,1513,47.43,9947975,34.71,8.069333333,42.77933333,175.24,1152203,55.84098326,0.934613333,56.7755966
anthracite,supercritical,23,100,10,0.75,60.58,97.05,398313.5,71.03,8.077333333,79.10733333,7.02,46156.5,114.272113,0.936,115.208113
anthracite,supercritical,23,200,10,0.75,121.1,76.12,796232.5,55.71,8.073333333,63.78333333,14.03,92247.25,89.62550209,0.935333333,90.56083543
anthracite,supercritical,23,300,10,0.75,181.6,67.9,1194020,49.7,8.071111111,57.77111111,21.03,138272.25,79.95669456,0.934666667,80.89136123
anthracite,supercritical,23,400,10,0.75,242.2,63.26,1592465,46.3,8.073333333,54.37333333,28.05,184428.75,74.48682008,0.935,75.42182008
anthracite,supercritical,23,500,10,0.75,302.7,60.18,1990252.5,44.05,8.072,52.122,35.06,230519.5,70.86705021,0.934933333,71.80198354
anthracite,supercritical,23,600,10,0.75,363.2,57.94,2388040,42.41,8.071111111,50.48111111,42.07,276610.25,68.22864017,0.934888889,69.16352906
anthracite,supercritical,23,700,10,0.75,423.7,56.22,2785827.5,41.15,8.07047619,49.22047619,49.07,322635.25,66.20156904,0.934666667,67.1362357
anthracite,supercritical,23,800,10,0.75,484.3,54.84,3184272.5,40.14,8.071666667,48.21166667,56.09,368791.75,64.57669456,0.934833333,65.51152789
anthracite,supercritical,23,900,10,0.75,544.8,53.69,3582060,39.3,8.071111111,47.37111111,63.1,414882.5,63.22531381,0.934814815,64.16012862
anthracite,supercritical,23,1000,10,0.75,605.3,52.71,3979847.5,38.58,8.070666667,46.65066667,70.11,460973.25,62.06698745,0.9348,63.00178745
anthracite,supercritical,23,1100,10,0.75,665.8,51.87,4377635,37.96,8.07030303,46.03030303,77.12,507064,61.06953975,0.934787879,62.00432763
anthracite,supercritical,23,1200,10,0.75,726.4,51.12,4776080,37.41,8.071111111,45.48111111,84.13,553154.75,60.18470711,0.934777778,61.11948489
anthracite,supercritical,23,1300,10,0.75,786.9,50.46,5173867.5,36.93,8.070769231,45.00076923,91.14,599245.5,59.41248954,0.934769231,60.34725877
anthracite,supercritical,23,1400,10,0.75,847.4,49.86,5571655,36.49,8.07047619,44.56047619,98.15,645336.25,58.70462343,0.934761905,59.63938534
anthracite,supercritical,23,1500,10,0.75,907.9,49.32,5969442.5,36.1,8.070222222,44.17022222,105.16,691427,58.07719665,0.934755556,59.01195221
anthracite,supercritical,23,1600,10,0.75,968.5,48.94,6367887.5,35.82,8.070833333,43.89083333,112.18,737583.5,57.6267364,0.934833333,58.56156974
anthracite,supercritical,23,1700,10,0.75,1029,48.6,6765675,35.57,8.070588235,43.64058824,119.18,783608.5,57.22453975,0.934745098,58.15928485
anthracite,supercritical,23,1800,10,0.75,1090,48.3,7166750,35.35,8.074074074,43.42407407,126.25,830093.75,56.87060669,0.935185185,57.80579188
anthracite,supercritical,23,1900,10,0.75,1150,48.03,7561250,35.15,8.070175439,43.22017544,133.2,875790,56.54884937,0.934736842,57.48358621
anthracite,supercritical,23,2000,10,0.75,1211,47.78,7962325,34.97,8.073333333,43.04333333,140.26,922209.5,56.25926778,0.935066667,57.19433445
anthracite,supercritical,23,2100,10,0.75,1271,47.56,8356825,34.81,8.06984127,42.87984127,147.21,967905.75,56.00186192,0.934666667,56.93652859
anthracite,supercritical,23,2200,10,0.75,1332,47.36,8757900,34.66,8.072727273,42.73272727,154.28,1014391,55.76054393,0.935030303,56.69557424
anthracite,supercritical,23,2300,10,0.75,1392,47.18,9152400,34.53,8.069565217,42.59956522,161.23,1060087.25,55.55140167,0.934666667,56.48606834
anthracite,supercritical,23,2400,10,0.75,1453,47.01,9553475,34.41,8.072222222,42.48222222,168.29,1106506.75,55.35834728,0.934944444,56.29329172
