Source,Type,Target,Relation,Value,Data Type
Weblink_51,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_51,,https://phyllis.nl/Biomass/View/2887,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_51,,17/02/2021,string
Weblink_52,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_52,,https://phyllis.nl/Biomass/View/435,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_52,,17/02/2021,string
Weblink_53,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_53,,https://phyllis.nl/Biomass/View/521,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_53,,17/02/2021,string
Weblink_54,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_54,,https://phyllis.nl/Biomass/View/2816,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_54,,17/02/2021,string
Weblink_55,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_55,,https://phyllis.nl/Biomass/View/703,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_55,,17/02/2021,string
Weblink_56,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_56,,https://phyllis.nl/Biomass/View/539,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_56,,17/02/2021,string
Weblink_57,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
