,RLOIid,riverName,RLOIid_upstream,RLOIid_downstream
582,3079,River Yeo,3074,3071
583,3348,Budleigh Brook,,3236
584,8251,Wyke Beck,,9392
585,2172,River Chelt,2170,2171
586,7242,River Wey,7409,7243
587,7270,Yeading Brook,,7271
588,8109,River Worth,8303,9037
589,6213,River Yare,6208,
590,2015,Badsey Brook,,
591,2175,River Frome (Severn),,2176
592,8214,River Derwent,9355,8132
593,3286,River Char,,
594,5199,River Roch,,5004
595,7185,River Gade,,7188
596,3203,River Tamar,3187,3195
597,2115,River Rea,9055,
598,1084,River Eden,1091,
599,6174,River Great Ouse,6173,6078
600,7229,River Wey,7230,7231
601,5212,Thacka Beck,,5204
602,3111,River North Lew,,
603,2156,River Greet,2216,2106
604,6115,River Nene,6108,9374
605,3036,Bristol Frome,3029,3413
606,8215,River Ure,8176,8028
607,2199,Ash Brook,,
608,5069,Sankey Brook,5031,5085
609,8180,River Ouse,8044,8179
610,2050,River Avon,2056,
611,8040,River Tyne,8170,8150
612,3317,Groundwater Levels,,
613,8293,River Wansbeck,8139,
614,6271,River Lark,6260,
615,3361,River Teign,3226,
616,8299,River Sheaf,,8308
617,2094,Field Drain,,
618,3141,Warleggan River,,
619,3244,River Yeo,,
620,8259,River Don,8242,
621,7309,River Wandle,7304,
622,7392,River Thames,7393,7389
623,3161,Carnon River,,
624,6185,River Great Ouse,6274,6163
625,7311,River Ravensbourne,,7310
626,8224,Brompton Beck,,
627,5007,River Weaver,5202,5065
628,8066,River Calder,8124,8100
629,1162,River Arun,9248,
630,7108,Sulham Brook,,
631,6111,River Nene,6110,6107
632,8097,River Calder,8343,9167
633,6205,River Yare,6095,6214
634,1149,Tanners Brook,9240,
635,7346,River Ash,7345,7347
636,8155,Oakley Cross Beck,,
637,7048,River Thames,7047,7049
638,8271,Cockshaw Burn,8270,8273
639,3309,River Bourne,3310,
640,2130,River Derwent,2138,
641,3354,River Lemon,3205,9009
642,6238,River Rase,,
643,7154,River Loddon,7152,
644,3282,Sea Levels,,
645,5117,River Douglas,,5152
646,2192,River Wreake,,2218
647,8052,River Wharfe,8010,8080
648,5079,Glossop Brook,,
649,6273,River Thet,6265,6280
650,5208,Thacka Beck,5204,
651,3118,Little Dart River,,
652,3353,River Wey,3291,
653,2213,River Smite,,
654,8364,River Leven,8088,8200
655,2051,River Severn,2063,2059
656,3044,River Chew,,
657,6056,River Witham,6049,6045
658,2148,River Meden,2186,
659,3326,River Wylye,3322,3327
660,1038,River Darent,9137,
661,7153,Emm Brook,,
662,3251,River Exe,9427,9010
663,3163,River Kenwyn,,
664,8346,River Aire,8056,9017
665,6012,Sea Levels,,
666,6015,Sea Levels,,
667,9257,River Uck,,1119
668,8030,River Skerne,,8164
669,7169,River Thames,7166,7170
670,3410,Cheddar Yeo,,
671,1158,Sea Levels,,
672,6078,River Great Ouse,6174,6264
673,5006,River Douglas,5152,5106
674,7138,River Loddon,7139,7151
675,7063,River Cherwell,7060,7064
676,5210,St Johns Beck,,5139
677,7068,River Ray,7067,7018
678,6069,River Slea,,6070
679,3233,River Sid,3240,
680,3337,River Kensey,3192,
681,8055,River Gaunless,,8128
682,1088,River Medway,1072,1066
683,8081,River Ouse,8208,8145
684,7111,River Thames,7110,7132
685,6292,Sea Levels,,
686,2126,Henmore Brook,9069,
687,2004,River Severn,9308,2036
688,8255,Oakenshaw Beck,,
689,5141,River Eamont,5046,
690,8345,River Aire,8199,8056
691,5067,Sea Levels,,
692,5193,Worsley Brook,,
693,3096,River Mole,3110,3127
694,7405,River Thames,7072,7073
695,2198,Kyre Brook,,2197
696,6096,River Tud,,
697,8070,Earby Beck,,8250
698,6148,River Wid,,6201
699,3018,Gauze Brook,,
700,6131,River Stour,,6134
701,7382,River Rom,9282,
702,6228,West Fen Catchwater Drain,,
703,3126,River Torridge,3125,3103
704,8103,River Hull,8335,
705,2155,River Erewash,,2159
706,7204,River Pinn,7183,
707,6138,River Colne,,6139
708,7225,Addlestone Bourne,7224,
709,1062,Lymington,,1060
710,8053,River Colne,8105,
711,6035,River Glen,,6022
712,2103,River Derwent,2118,2138
713,3259,River Culm,3347,9430
714,6072,Sea Levels,,
715,5188,Colne Water,,
716,8169,River Swale,8089,8043
717,8037,River Derwent,8074,9358
718,7201,River Pinn,7397,7173
719,7265,Hogsmill River,7264,7266
720,7282,River Brent,,7289
721,7289,River Brent,7282,7290
722,8320,River Aire,9311,8042
723,7291,River Brent,7290,7007
724,8367,River West Allen,,
725,2139,River Sence,,2188
726,5165,River Crake,,5092
727,8038,River Browney,,
728,6117,River Nene,6120,6108
729,3193,River Yealm,3188,
730,2121,River Ryton,,2141
731,6291,River Great Ouse,6168,6169
732,5203,Netherley Brook,,
733,6166,River Great Ouse,6276,6167
734,8223,River Tees,8129,8366
735,8110,River Wharfe,,8276
736,5043,Shaw Brook Tributary,,
737,8050,River Wharfe,8202,8278
738,7350,River Stort,7348,7351
739,2158,River Soar,2136,2142
740,7353,River Stort,7351,
741,8036,Sea Levels,,
742,7162,River Thames,7396,7163
743,6013,Sea Levels,,
744,7057,River Thames,7056,7072
745,7150,River Blackwater,7149,
746,7328,River Quaggy,7327,
747,8111,Kielder Burn,,
748,6229,East Fen Catchwater,,
749,3386,River Fowey,3152,
750,1161,River Test,9230,9188
751,7130,Foudry Brook,,
752,1024,Lymington,9262,
753,6151,River Tove,6157,
754,3134,River Camel,,9303
755,6123,Weedon Beck,,
756,7178,River Ver,,7180
757,8090,River Don,8248,8174
758,8117,River Dove,,
759,6194,River Granta,6074,6195
760,3414,River Avon,3416,3037
761,8004,River Ure,8028,
762,1169,River Rother,1164,1013
763,7357,River Lee,7333,7361
764,3078,River Cam,,
765,3350,River Axe,3227,3229
766,8221,Wooler Water,8051,
767,6074,River Granta,,6194
768,7251,Gatwick Stream,,7252
769,8238,Mires Beck,,
770,7176,Mimmshall Brook,,7177
771,6197,Bourn Brook,6262,
772,2016,River Worfe,,
773,2167,River Severn,2166,9030
774,6158,River Great Ouse,,6183
775,6102,Brampton Branch,6122,
776,5004,River Roch,5199,5231
777,3202,River Lyd,,
778,3383,River Marden,,3038
779,8209,River Calder,8100,9320
780,8003,River Aire,8041,
781,3110,River Mole,,3096
782,6175,River Great Ouse,6264,6176
783,7122,River Kennet,7117,9395
784,7058,River Cherwell,,7059
785,8252,Glusburn Bridge,,
786,3035,Sherston Avon,,3408
787,6265,River Thet,6250,6273
