primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
subbituminous,subcritical,37,1500,1330,44.58,8744750.00,11
subbituminous,subcritical,37,1600,1419,44.21,9329925.00,11
subbituminous,subcritical,37,1700,1507,43.88,9908525.00,11
subbituminous,subcritical,37,1800,1596,43.58,10493700.00,11
subbituminous,subcritical,37,1900,1685,43.31,11078875.00,11
subbituminous,subcritical,37,2000,1773,43.07,11657475.00,11
subbituminous,subcritical,37,2100,1862,42.84,12242650.00,11
subbituminous,subcritical,37,2200,1951,42.64,12827825.00,11
subbituminous,subcritical,37,2300,2039,42.44,13406425.00,11
subbituminous,subcritical,37,2400,2128,42.27,13991600.00,11
subbituminous,subcritical,37,2500,2217,42.1,14576775.00,11
subbituminous,subcritical,40,100,88.74,92.84,583465.50,12
subbituminous,subcritical,40,200,177.4,71.17,1166405.00,12
subbituminous,subcritical,40,300,266.1,62.73,1749607.50,12
subbituminous,subcritical,40,400,354.7,57.98,2332152.50,12
subbituminous,subcritical,40,500,443.4,54.85,2915355.00,12
subbituminous,subcritical,40,600,532,52.58,3497900.00,12
subbituminous,subcritical,40,700,620.7,50.83,4081102.50,12
subbituminous,subcritical,40,800,709.3,49.42,4663647.50,12
subbituminous,subcritical,40,900,798,48.25,5246850.00,12
subbituminous,subcritical,40,1000,886.7,47.26,5830052.50,12
subbituminous,subcritical,40,1100,975.3,46.39,6412597.50,12
subbituminous,subcritical,40,1200,1064,45.63,6995800.00,12
subbituminous,subcritical,40,1300,1153,44.94,7580975.00,12
subbituminous,subcritical,40,1400,1241,44.39,8159575.00,12
subbituminous,subcritical,40,1500,1330,43.97,8744750.00,12
subbituminous,subcritical,40,1600,1419,43.61,9329925.00,12
subbituminous,subcritical,40,1700,1507,43.28,9908525.00,12
subbituminous,subcritical,40,1800,1596,42.99,10493700.00,12
subbituminous,subcritical,40,1900,1685,42.72,11078875.00,12
subbituminous,subcritical,40,2000,1773,42.48,11657475.00,12
subbituminous,subcritical,40,2100,1862,42.26,12242650.00,12
subbituminous,subcritical,40,2200,1951,42.05,12827825.00,12
subbituminous,subcritical,40,2300,2039,41.87,13406425.00,12
subbituminous,subcritical,40,2400,2128,41.69,13991600.00,12
subbituminous,subcritical,40,2500,2217,41.52,14576775.00,12
subbituminous,subcritical,43,100,88.74,91.72,583465.50,13
subbituminous,subcritical,43,200,177.4,70.22,1166405.00,13
subbituminous,subcritical,43,300,266.1,61.87,1749607.50,13
subbituminous,subcritical,43,400,354.7,57.18,2332152.50,13
subbituminous,subcritical,43,500,443.4,54.08,2915355.00,13
subbituminous,subcritical,43,600,532,51.84,3497900.00,13
subbituminous,subcritical,43,700,620.7,50.12,4081102.50,13
subbituminous,subcritical,43,800,709.3,48.73,4663647.50,13
subbituminous,subcritical,43,900,798,47.58,5246850.00,13
subbituminous,subcritical,43,1000,886.7,46.6,5830052.50,13
subbituminous,subcritical,43,1100,975.3,45.75,6412597.50,13
subbituminous,subcritical,43,1200,1064,45,6995800.00,13
subbituminous,subcritical,43,1300,1153,44.32,7580975.00,13
subbituminous,subcritical,43,1400,1241,43.77,8159575.00,13
subbituminous,subcritical,43,1500,1330,43.36,8744750.00,13
subbituminous,subcritical,43,1600,1419,43,9329925.00,13
subbituminous,subcritical,43,1700,1507,42.68,9908525.00,13
subbituminous,subcritical,43,1800,1596,42.39,10493700.00,13
subbituminous,subcritical,43,1900,1685,42.13,11078875.00,13
subbituminous,subcritical,43,2000,1773,41.89,11657475.00,13
subbituminous,subcritical,43,2100,1862,41.68,12242650.00,13
subbituminous,subcritical,43,2200,1951,41.47,12827825.00,13
subbituminous,subcritical,43,2300,2039,41.29,13406425.00,13
subbituminous,subcritical,43,2400,2128,41.11,13991600.00,13
subbituminous,subcritical,43,2500,2217,40.94,14576775.00,13
subbituminous,subcritical,47,100,88.74,90.21,583465.50,14
subbituminous,subcritical,47,200,177.4,68.95,1166405.00,14
subbituminous,subcritical,47,300,266.1,60.71,1749607.50,14
subbituminous,subcritical,47,400,354.7,56.1,2332152.50,14
subbituminous,subcritical,47,500,443.4,53.06,2915355.00,14
subbituminous,subcritical,47,600,532,50.86,3497900.00,14
subbituminous,subcritical,47,700,620.7,49.17,4081102.50,14
subbituminous,subcritical,47,800,709.3,47.81,4663647.50,14
subbituminous,subcritical,47,900,798,46.68,5246850.00,14
subbituminous,subcritical,47,1000,886.7,45.72,5830052.50,14
subbituminous,subcritical,47,1100,975.3,44.89,6412597.50,14
subbituminous,subcritical,47,1200,1064,44.15,6995800.00,14
subbituminous,subcritical,47,1300,1153,43.49,7580975.00,14
subbituminous,subcritical,47,1400,1241,42.95,8159575.00,14
subbituminous,subcritical,47,1500,1330,42.55,8744750.00,14
subbituminous,subcritical,47,1600,1419,42.2,9329925.00,14
subbituminous,subcritical,47,1700,1507,41.88,9908525.00,14
subbituminous,subcritical,47,1800,1596,41.6,10493700.00,14
subbituminous,subcritical,47,1900,1685,41.35,11078875.00,14
subbituminous,subcritical,47,2000,1773,41.11,11657475.00,14
subbituminous,subcritical,47,2100,1862,40.9,12242650.00,14
subbituminous,subcritical,47,2200,1951,40.7,12827825.00,14
subbituminous,subcritical,47,2300,2039,40.51,13406425.00,14
subbituminous,subcritical,47,2400,2128,40.34,13991600.00,14
subbituminous,subcritical,47,2500,2217,40.18,14576775.00,14
subbituminous,subcritical,50,100,88.74,89.09,583465.50,15
subbituminous,subcritical,50,200,177.4,68,1166405.00,15
subbituminous,subcritical,50,300,266.1,59.85,1749607.50,15
subbituminous,subcritical,50,400,354.7,55.29,2332152.50,15
subbituminous,subcritical,50,500,443.4,52.29,2915355.00,15
subbituminous,subcritical,50,600,532,50.13,3497900.00,15
subbituminous,subcritical,50,700,620.7,48.46,4081102.50,15
subbituminous,subcritical,50,800,709.3,47.12,4663647.50,15
subbituminous,subcritical,50,900,798,46.01,5246850.00,15
subbituminous,subcritical,50,1000,886.7,45.07,5830052.50,15
subbituminous,subcritical,50,1100,975.3,44.24,6412597.50,15
subbituminous,subcritical,50,1200,1064,43.52,6995800.00,15
subbituminous,subcritical,50,1300,1153,42.86,7580975.00,15
subbituminous,subcritical,50,1400,1241,42.33,8159575.00,15
subbituminous,subcritical,50,1500,1330,41.94,8744750.00,15
subbituminous,subcritical,50,1600,1419,41.6,9329925.00,15
subbituminous,subcritical,50,1700,1507,41.29,9908525.00,15
subbituminous,subcritical,50,1800,1596,41.01,10493700.00,15
subbituminous,subcritical,50,1900,1685,40.76,11078875.00,15
subbituminous,subcritical,50,2000,1773,40.53,11657475.00,15
subbituminous,subcritical,50,2100,1862,40.32,12242650.00,15
subbituminous,subcritical,50,2200,1951,40.12,12827825.00,15
subbituminous,subcritical,50,2300,2039,39.94,13406425.00,15
subbituminous,subcritical,50,2400,2128,39.76,13991600.00,15
subbituminous,subcritical,50,2500,2217,39.6,14576775.00,15
subbituminous,subcritical,53,100,88.74,87.96,583465.50,16
subbituminous,subcritical,53,200,177.4,67.05,1166405.00,16
subbituminous,subcritical,53,300,266.1,58.99,1749607.50,16
subbituminous,subcritical,53,400,354.7,54.49,2332152.50,16
subbituminous,subcritical,53,500,443.4,51.53,2915355.00,16
subbituminous,subcritical,53,600,532,49.39,3497900.00,16
subbituminous,subcritical,53,700,620.7,47.75,4081102.50,16
subbituminous,subcritical,53,800,709.3,46.43,4663647.50,16
subbituminous,subcritical,53,900,798,45.34,5246850.00,16
subbituminous,subcritical,53,1000,886.7,44.41,5830052.50,16
subbituminous,subcritical,53,1100,975.3,43.6,6412597.50,16
subbituminous,subcritical,53,1200,1064,42.88,6995800.00,16
subbituminous,subcritical,53,1300,1153,42.24,7580975.00,16
subbituminous,subcritical,53,1400,1241,41.72,8159575.00,16
subbituminous,subcritical,53,1500,1330,41.33,8744750.00,16
subbituminous,subcritical,53,1600,1419,40.99,9329925.00,16
subbituminous,subcritical,53,1700,1507,40.69,9908525.00,16
subbituminous,subcritical,53,1800,1596,40.42,10493700.00,16
subbituminous,subcritical,53,1900,1685,40.17,11078875.00,16
subbituminous,subcritical,53,2000,1773,39.94,11657475.00,16
subbituminous,subcritical,53,2100,1862,39.73,12242650.00,16
subbituminous,subcritical,53,2200,1951,39.54,12827825.00,16
subbituminous,subcritical,53,2300,2039,39.36,13406425.00,16
subbituminous,subcritical,53,2400,2128,39.18,13991600.00,16
subbituminous,subcritical,53,2500,2217,39.02,14576775.00,16
subbituminous,subcritical,57,100,88.74,86.46,583465.50,17
subbituminous,subcritical,57,200,177.4,65.78,1166405.00,17
subbituminous,subcritical,57,300,266.1,57.84,1749607.50,17
subbituminous,subcritical,57,400,354.7,53.41,2332152.50,17
subbituminous,subcritical,57,500,443.4,50.51,2915355.00,17
subbituminous,subcritical,57,600,532,48.41,3497900.00,17
subbituminous,subcritical,57,700,620.7,46.8,4081102.50,17
subbituminous,subcritical,57,800,709.3,45.51,4663647.50,17
subbituminous,subcritical,57,900,798,44.44,5246850.00,17
subbituminous,subcritical,57,1000,886.7,43.53,5830052.50,17
subbituminous,subcritical,57,1100,975.3,42.74,6412597.50,17
subbituminous,subcritical,57,1200,1064,42.04,6995800.00,17
subbituminous,subcritical,57,1300,1153,41.4,7580975.00,17
subbituminous,subcritical,57,1400,1241,40.9,8159575.00,17
subbituminous,subcritical,57,1500,1330,40.52,8744750.00,17
subbituminous,subcritical,57,1600,1419,40.19,9329925.00,17
subbituminous,subcritical,57,1700,1507,39.89,9908525.00,17
subbituminous,subcritical,57,1800,1596,39.62,10493700.00,17
subbituminous,subcritical,57,1900,1685,39.38,11078875.00,17
subbituminous,subcritical,57,2000,1773,39.16,11657475.00,17
subbituminous,subcritical,57,2100,1862,38.96,12242650.00,17
subbituminous,subcritical,57,2200,1951,38.76,12827825.00,17
subbituminous,subcritical,57,2300,2039,38.58,13406425.00,17
