generatoreic,time,power,*
48W000000SIZB-1U,17,601.84,*
48W000000SIZB-1U,18,601.44,*
48W000000SIZB-1U,19,601.44,*
48W000000SIZB-1U,20,601.56,*
48W000000SIZB-1U,21,601.78,*
48W000000SIZB-1U,22,601.2,*
48W000000SIZB-1U,23,602.16,*
48W000000SIZB-1U,24,601.38,*
48W000000SIZB-1U,25,601.3,*
48W000000SIZB-1U,26,602.1,*
48W000000SIZB-1U,27,602.08,*
48W000000SIZB-1U,28,602.06,*
48W000000SIZB-1U,29,602.16,*
48W000000SIZB-1U,30,601.94,*
48W000000SIZB-1U,31,601.88,*
48W000000SIZB-1U,32,602.14,*
48W000000SIZB-1U,33,601.74,*
48W000000SIZB-1U,34,602.52,*
48W000000SIZB-1U,35,601.5,*
48W000000SIZB-1U,36,602.3,*
48W000000SIZB-1U,37,602.12,*
48W000000SIZB-1U,38,602.1,*
48W000000SIZB-1U,39,601.9,*
48W000000SIZB-1U,40,601.72,*
48W000000SIZB-1U,41,602.08,*
48W000000SIZB-1U,42,602.3,*
48W000000SIZB-1U,43,602.22,*
48W000000SIZB-1U,44,602.36,*
48W000000SIZB-1U,45,601.92,*
48W000000SIZB-1U,46,602.22,*
48W000000SIZB-1U,47,602.1,*
48W000000SIZB-1U,48,602.16,*
48W000000SIZB-2S,1,595.36,*
48W000000SIZB-2S,2,597.54,*
48W000000SIZB-2S,3,591.36,*
48W000000SIZB-2S,4,596.02,*
48W000000SIZB-2S,5,595.48,*
48W000000SIZB-2S,6,595.66,*
48W000000SIZB-2S,7,594.9,*
48W000000SIZB-2S,8,595.48,*
48W000000SIZB-2S,9,595.12,*
48W000000SIZB-2S,10,595.12,*
48W000000SIZB-2S,11,595.1,*
48W000000SIZB-2S,12,595.4,*
48W000000SIZB-2S,13,595.62,*
48W000000SIZB-2S,14,595.84,*
48W000000SIZB-2S,15,595.54,*
48W000000SIZB-2S,16,595.56,*
48W000000SIZB-2S,17,595.64,*
48W000000SIZB-2S,18,595.5,*
48W000000SIZB-2S,19,595.66,*
48W000000SIZB-2S,20,595.04,*
48W000000SIZB-2S,21,595.26,*
48W000000SIZB-2S,22,594.7,*
48W000000SIZB-2S,23,594.46,*
48W000000SIZB-2S,24,594.88,*
48W000000SIZB-2S,25,594.62,*
48W000000SIZB-2S,26,594.56,*
48W000000SIZB-2S,27,594.78,*
48W000000SIZB-2S,28,594.56,*
48W000000SIZB-2S,29,595.02,*
