13STo   13STm   20VEo   20VEm   61WBo   61WBm   64KSo   64KSm   21BIo   21BIm   24FLo   24FLm   54BLo   54BLm   72FIo   72FIm   27TAo   27TAm   51BFo   51BFm   52NGo   52NGm   74BTo   74BTm   73FWo   73FWm
  17.100   21.322   28.500   45.816   18.600   52.739   29.600   51.255   12.600   48.395   24.700   24.148   11.500    1.925   23.600   35.052    9.000   20.439   15.400    8.692   18.400    8.784   24.300   38.685   30.900   24.421
  20.000   11.117   30.100   25.765   21.600   49.738   50.600   25.847   13.200   41.379   26.600   11.847   19.000    1.401   26.900   28.989    6.800   11.874   15.200    4.578   14.700   11.720   23.700   19.597   23.000   25.917
  24.800    5.732   32.100   13.457   17.800   49.378   83.600   13.934   13.400   36.422  -99.000    6.651   22.400    1.466   22.400   33.260    8.000    9.452   11.900    2.346   12.100   17.230   28.900    9.682   15.700   26.351
  31.300    8.668   48.400   22.630   20.600   45.326   68.000   21.864   22.600   35.900   27.100    9.182   36.000    2.088   24.200   35.714   12.400   11.123   16.000    3.309    9.200   22.372   31.200   14.289   23.600   31.108
  31.500    5.654   52.000   14.017   22.100   28.937   57.000   13.203   21.300   36.421   29.800    5.976   33.000    2.544   35.400   33.590   16.800   13.032   13.400    2.439    9.300   30.501   30.300    8.679   34.700   37.750
  36.100    4.653   44.000   10.949   24.500   20.337   56.600   10.411   21.700   39.098   28.600    5.086  -99.000    3.280   30.500   35.535   18.100   10.862   10.700    2.218    7.900   30.749   23.800    6.626   26.400   44.582
  33.100    3.920   33.600    7.364   27.100   15.963   48.400   10.692   17.100   45.442   23.000    4.455   21.300    3.743   32.200   33.895   21.100    9.125   11.800    2.222    5.600   30.165   18.400    5.740   32.300   51.355
  16.500    7.262   19.700   10.915   17.600   13.275   26.000   15.559   14.700   38.157   10.400    5.217   13.500    3.213   30.900   29.065   13.000    5.558    8.900    2.779   17.700   30.256   20.100    8.518   28.800   50.606
  10.700   12.011   21.800   27.712    6.900   22.964   14.800   27.691    6.300   45.396    8.000    8.215    7.400    2.529   33.700   26.103    7.000    8.074    5.600    4.346   10.900   36.430   10.100   12.907   26.900   40.933
   7.900   25.374   21.400   70.915    6.600   30.135   13.600   63.844    2.000   37.698    4.900   15.259    6.400    3.301   19.700   25.310    5.800   16.936    4.400    4.091    9.700   49.096    4.900   22.372   21.100   24.940
