Source,Type,Target,Relation,Value
Walesby,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/GOXHILLTOHATTON312Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Asselby,Instance,LocalDistribution,,
Asselby,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Asselby,,53.737022#-0.939939442
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Asselby,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Asselby,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Asselby,,3.0
Asselby,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/ASSELBYTOPANNAL0Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Baldersby,Instance,LocalDistribution,,
Baldersby,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Baldersby,,54.22450724#-1.419054888
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Baldersby,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Baldersby,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Baldersby,,3.0
Baldersby,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/YAFFORTHTOTOWTON174Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Burley Bank,Instance,LocalDistribution,,
Burley Bank,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Burley Bank,,54.00428352#-1.602649055
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Burley Bank,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Burley Bank,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Burley Bank,,3.0
Burley Bank,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/BISHOPAUCKLANDTOPANNAL694Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Ganstead,Instance,LocalDistribution,,
Ganstead,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Ganstead,,53.8147688#-0.235665281
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Ganstead,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Ganstead,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Ganstead,,3.0
Ganstead,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/EASINGTONTOASSELBY4380Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Pannal,Instance,LocalDistribution,,
Pannal,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Pannal,,53.95230966#-1.617592619
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Pannal,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Pannal,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Pannal,,3.0
Pannal,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/PANNALTOCAWOOD2Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Paull,Instance,LocalDistribution,,
Paull,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Paull,,53.74114289#-0.232850846
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Paull,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Paull,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Paull,,3.0
Paull,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/PAULLTOSALTEND120Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Pickering,Instance,LocalDistribution,,
Pickering,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
