country,capacity_MW,primary_fuel,generation_technology,year,age,output_MWh,fuel_used
Canada,1282,subbituminous,subcritical,1962,55,8942401,coal
Canada,1310,subbituminous,subcritical,1962,55,0,coal
Canada,2120,oil,subcritical,1962,55,2968234,oil
Canada,2126,coal,subcritical,1962,55,10100000,coal
Chile,14,coal,subcritical,1953,64,14358,oil
Chile,43,coal,subcritical,1957,60,36407,oil
Chile,55,coal,subcritical,1957,60,360102,coal
Chile,64,natural_gas,OCGT,1957,60,210222,gas
Chile,96,oil,engine,1957,60,35131,oil
Chile,100,natural_gas,OCGT,2009,8,426830,gas
Chile,100,oil,subcritical,2009,8,0,oil
Chile,103,natural_gas,OCGT,2005,12,25775,oil
Chile,104,natural_gas,OCGT,2009,8,0,oil
Chile,132,natural_gas,OCGT,2009,8,971315,gas
Chile,133,natural_gas,OCGT,2005,12,192219,gas
Chile,139,natural_gas,OCGT,2005,12,522767,gas
Chile,160,natural_gas,OCGT,2005,12,308983,gas
