Year      Month     Day      Hour      X(m)      Y(m)      Z(m)      O3        NO        NO2       H2O2      N2O5      HNO3      HONO      SO2       Sulphate  CO        C2H6      HCHO      CH3CHO    C2H4      PAN       nC4H10    CH3COC2H5 C3H6      oXylene   isoprene  PM2.5     PM10      
2020  5  6 12  372628.312  145794.703      10.000   0.1081895E+00   0.3300355E+01   0.8226100E-01   0.6544060E-06   0.1569026E-09   0.1356472E-03   0.3284308E-02   0.1551687E+00   0.1689439E-04   0.2508172E+00   0.2673169E-01   0.2099768E-01   0.2356428E-01   0.4655637E-01   0.3899487E-06   0.3386561E+00   0.1475388E-02   0.7415358E-01   0.1788213E+00   0.0000000E+00   0.2021186E-03   0.2002549E-03
2020  5  6 12  372628.312  147794.703      10.000   0.5061123E-04   0.3626277E-01   0.1912374E-03   0.2310538E-08   0.6406251E-13   0.6086964E-06   0.2698768E-04   0.1664799E-02   0.1747857E-06   0.2704620E-02   0.2882419E-03   0.2267405E-03   0.2526825E-03   0.5023092E-03   0.1364590E-08   0.3635391E-02   0.1565149E-04   0.7977557E-03   0.1914347E-02   0.0000000E+00   0.1805897E-05   0.1809868E-05
2020  5  6 12  372628.312  149794.703      10.000   0.8031413E-12   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.1003927E-12   0.0000000E+00   0.7659352E-18   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.1003927E-12   0.0000000E+00   0.0000000E+00   0.0000000E+00
2020  5  6 12  374628.312  131794.703      10.000   0.2520732E-01   0.7832659E+00   0.6466735E-02   0.4119553E-07   0.6302304E-12   0.1197927E-04   0.5345575E-03   0.3616658E-01   0.2317683E-05   0.5898049E-01   0.6288137E-02   0.4995749E-02   0.5504069E-02   0.1096533E-01   0.3369006E-07   0.7901504E-01   0.3400881E-03   0.1737992E-01   0.4152198E-01   0.0000000E+00   0.3677727E-04   0.3665548E-04
2020  5  6 12  374628.312  133794.703      10.000   0.1305054E-01   0.1199662E-01   0.1375565E-03   0.2262838E-08   0.0000000E+00   0.5528906E-06   0.1093132E-04   0.5629957E-03   0.9688492E-07   0.9166869E-03   0.9788029E-04   0.7880338E-04   0.8550591E-04   0.1707316E-03   0.1314769E-08   0.1230065E-02   0.5235113E-05   0.2708183E-03   0.6466758E-03   0.0000000E+00   0.5272188E-06   0.5409543E-06
2020  5  6 12  374628.312  135794.703      10.000   0.1882364E+00   0.2281141E+02   0.9765944E+00   0.5458738E-06   0.3179173E-08   0.1283112E-03   0.6063635E-02   0.1074696E+01   0.1669703E-04   0.1751155E+01   0.1869616E+00   0.1504164E+00   0.1632576E+00   0.3261361E+00   0.4498228E-06   0.2348216E+01   0.9988854E-02   0.5171114E+00   0.1234068E+01   0.0000000E+00   0.9999684E-03   0.1024592E-02
2020  5  6 12  374628.312  137794.703      10.000   0.2492701E+00   0.2645982E+02   0.1267665E+01   0.2054401E-07   0.2749694E-08   0.2082934E-05   0.0000000E+00   0.1250598E+01   0.4711826E-06   0.2032491E+01   0.2172596E+00   0.1763783E+00   0.1896252E+00   0.3789939E+00   0.6924988E-08   0.2732233E+01   0.1154718E-01   0.6016988E+00   0.1437351E+01   0.0000000E+00   0.1156393E-02   0.1230126E-02
2020  5  6 12  374628.312  139794.703      10.000   0.3025670E+00   0.5115654E+03   0.2645578E+02   0.2922945E-04   0.1880414E-06   0.4827443E-02   0.2210138E+00   0.2422141E+02   0.4222255E-03   0.3950473E+02   0.4216958E+01   0.3389781E+01   0.3680978E+01   0.7356620E+01   0.1949147E-04   0.5292817E+02   0.2251653E+00   0.1165868E+02   0.2780337E+02   0.0000000E+00   0.2208259E-01   0.2256608E-01
2020  5  6 12  374628.312  141794.703      10.000   0.3027666E+00   0.5983417E+03   0.3111406E+02   0.3526828E-04   0.2145115E-06   0.5380804E-02   0.2038653E+00   0.2840930E+02   0.4639679E-03   0.4619390E+02   0.4932544E+01   0.3964944E+01   0.4311707E+01   0.8602456E+01   0.2113336E-04   0.6206132E+02   0.2640515E+00   0.1365595E+02   0.3265149E+02   0.0000000E+00   0.2806088E-01   0.2875236E-01
2020  5  6 12  374628.312  143794.703      10.000   0.2965691E+00   0.1447222E+03   0.7253261E+01   0.1581959E-04   0.5235867E-07   0.2637027E-02   0.8196082E-01   0.6887000E+01   0.2362812E-03   0.1116401E+02   0.1191738E+01   0.9525275E+00   0.1044542E+01   0.2077415E+01   0.9314020E-05   0.1503920E+02   0.6432494E-01   0.3303514E+01   0.7926058E+01   0.0000000E+00   0.7662549E-02   0.7750915E-02
2020  5  6 12  374628.312  145794.703      10.000   0.8183719E-01   0.9578369E+00   0.2387075E-01   0.8852272E-06   0.4746108E-10   0.1840435E-03   0.4435692E-02   0.4506227E-01   0.1995980E-04   0.7263361E-01   0.7743074E-02   0.6102760E-02   0.6854528E-02   0.1347877E-01   0.5331256E-06   0.9831463E-01   0.4344024E-03   0.2148374E-01   0.5197102E-01   0.0000000E+00   0.8429828E-04   0.7785095E-04
2020  5  6 12  374628.312  147794.703      10.000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.2217441E-08   0.0000000E+00   0.4396297E-06   0.1185106E-04   0.3068707E-06   0.1041580E-06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.9274488E-09   0.0000000E+00   0.1245585E-06   0.0000000E+00   0.8919054E-05   0.0000000E+00   0.8216012E-06   0.7731964E-06
